,state,gender,avg_fam_income,pobc2,avggift,domain,target_d,med_home_val_transformed
0,FL,Male,520.0,16,28,C2,100.0,0.2948459101494554
1,IL,Male,473.0,89,5,T2,7.0,-0.6368333580972984
2,FL,Female,436.0,17,4,C2,5.0,-0.29411093030880936
3,NC,Male,413.0,74,27,T2,38.0,0.2948459101494554
4,FL,Female,348.0,6,6,C2,5.0,0.09572506909782971
5,IL,Male,501.0,75,25,S2,30.0,-0.23165858622031768
6,NC,U,419.0,73,4,R2,12.0,-0.2144799923044372
7,TX,Male,560.0,46,6,C1,7.0,-0.045067799499239794
8,CA,Female,250.0,63,8,T2,10.0,0.2948459101494554
9,NV,Female,781.0,44,13,T1,5.0,0.7123367561887661
10,CA,Female,588.0,54,8,U1,10.0,1.9879608814997367
11,Cali,Female,496.0,52,11,T2,10.0,0.13513732328902714
12,AP,U,0.0,0,5,0,6.0,-4.179469891894217
13,MI,Female,523.0,53,11,S1,15.0,-0.045067799499239794
14,FL,Female,702.0,24,18,T1,28.0,0.66057055248282
15,FL,Female,411.0,8,15,C2,15.0,0.034163588697090234
16,TX,Female,74.0,94,5,C3,6.0,-1.3748228539195904
17,CA,U,625.0,66,9,S1,12.0,1.0325422110603044
18,OK,Female,656.0,56,11,C2,15.0,0.1526421186173862
19,AR,Female,341.0,70,5,0,5.0,-0.5074655205727255
20,IN,Female,370.0,80,7,T2,10.0,-0.6595466676008618
21,MT,Male,432.0,53,9,C1,25.0,-0.30723372453588427
22,TX,Male,650.0,61,6,S1,15.0,0.11618086221837264
23,IL,Male,317.0,53,8,S2,5.0,0.18101753498626522
24,IL,Male,212.0,67,10,R3,10.0,-1.2626015255796834
25,CA,Male,393.0,49,5,S2,5.0,0.6838562712101309
26,WI,Female,392.0,74,12,S1,5.0,-0.5282586647649516
27,MO,Male,416.0,71,7,C2,10.0,-0.07187011520822334
28,IN,Male,264.0,45,8,S3,10.0,-0.9417852772587388
29,TX,Female,396.0,88,6,R2,7.5,-0.31053168103105677
30,HI,Female,503.0,78,15,C2,21.0,1.3171165770271476
31,FL,Male,269.0,20,12,S3,20.0,-0.5924397016050645
32,TX,Male,531.0,42,12,U1,20.0,0.2948459101494554
33,CA,Female,190.0,57,16,R1,15.0,-0.5206640477239644
34,UT,Male,394.0,82,15,C3,25.0,-0.32545924815960114
35,GA,Female,588.0,55,10,C2,16.0,-0.06194468642381974
36,WA,Female,545.0,51,6,C2,10.0,0.42288960755763844
37,CA,Female,678.0,61,8,C1,5.0,1.3278547796805829
38,ID,U,357.0,39,20,T2,15.0,-0.3055873497240414
39,CT,Male,750.0,51,8,0,11.0,1.4380503451046829
40,CA,Female,356.0,36,7,U3,5.0,1.1365371970551637
41,AL,U,472.0,68,33,0,35.0,-0.23008920894539125
42,ND,Female,376.0,85,10,C2,10.0,-0.1282993545107191
43,TX,Male,446.0,56,6,S1,10.0,0.608300155012953
44,CA,Female,257.0,34,13,U4,15.0,0.7313893580297696
45,IL,Female,355.0,60,11,U2,25.0,-0.48880961313053733
46,SC,Female,316.0,80,5,T2,10.0,-0.765310838150623
47,IA,Female,256.0,78,4,T2,6.0,-0.8893773087902354
48,CO,Male,380.0,78,13,R3,15.0,-0.9936485125000042
49,TX,Male,490.0,84,11,T1,18.0,-0.3557506873310086
50,CA,Male,407.0,28,15,U1,24.0,1.9805130177923191
51,CA,Female,373.0,36,9,0,14.0,1.175819389235338
52,FL,Female,536.0,47,14,S1,20.0,-0.46672328953925135
