danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0.812,0.879,-10.998,0.0397,0.0167,0.224,0.366,0.962,129.991,0
0.74,0.82,-6.695,0.13,0.0183,5.04e-06,0.313,0.354,126.042,0
0.802,0.966,-3.933,0.0424,0.18,0.0,0.0611,0.684,130.099,0
0.757,0.892,-5.321,0.124,0.178,4.19e-05,0.0719,0.936,127.014,0
0.627,0.954,-4.804,0.0425,0.0015,0.000814,0.292,0.312,128.016,1
0.928,0.892,-7.782,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,0
0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,1
0.867,0.857,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048,0
0.756,0.705,-4.744,0.0462,0.0326,0.0503,0.0552,0.962,129.993,0
0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,0
0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,0
0.851,0.806,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999,0
0.426,0.584,-5.293,0.296,0.0383,0.0,0.192,0.272,193.438,1
0.611,0.936,-3.697,0.11,0.0309,0.0,0.12,0.697,144.901,1
0.611,0.719,-8.523,0.0777,0.14,0.000278,0.182,0.367,63.842,2
0.696,0.921,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,0
0.624,0.977,-3.34,0.22,0.00615,0.0,0.253,0.74,126.129,1
0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975,0
0.597,0.517,-6.963,0.365,0.179,0.0,0.307,0.412,92.035,2
0.546,0.916,-3.932,0.255,0.00144,4.34e-06,0.251,0.375,129.983,1
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,0
0.72,0.672,-6.852,0.0551,0.009,0.0,0.232,0.705,124.986,0
0.563,0.75,-4.496,0.127,0.113,0.0,0.0788,0.812,173.906,1
0.809,0.562,-7.694,0.0534,0.0816,0.000418,0.105,0.798,130.003,0
0.825,0.832,-5.853,0.0403,0.00587,0.000789,0.114,0.713,122.021,0
